rule_id,rulebridge_target_count,rulebridge_pass_count,direct_target_count,direct_reference_pass_count,target_count_match,rulebridge_pass_rate,direct_reference_pass_rate,difference_rulebridge_minus_direct
R01_GLOBAL_ID,7012,7012,7012,7012,True,1.0,1.0,0.0
R02_OBJECT_NAME,7135,6531,7135,6531,True,0.9153468815697267,0.9153468815697267,0.0
R03_TYPE_OR_OBJECTTYPE,7012,3532,7012,3111,True,0.5037079292641187,0.44366799771819737,0.0600399315459213
R04_SPATIAL_CONTAINMENT,7135,6262,7135,5656,True,0.8776454099509461,0.7927119831814996,0.08493342676944649
R05_MATERIAL_AVAILABLE,3255,2572,3255,2572,True,0.7901689708141321,0.7901689708141321,0.0
R06_DOOR_CLEAR_WIDTH,334,181,334,231,True,0.5419161676646707,0.6916167664670658,-0.14970059880239517
R07_WINDOW_DIMENSIONS,525,333,525,333,True,0.6342857142857142,0.6342857142857142,0.0
R08_SPACE_AREA,123,110,123,108,True,0.8943089430894309,0.8780487804878049,0.016260162601625994
R09_FIRE_RATING,1920,285,1920,285,True,0.1484375,0.1484375,0.0
R10_SITE_GEOREFERENCE,103,4,103,4,True,0.038834951456310676,0.038834951456310676,0.0
