model,source_repository,model_type,completeness_tier,schema,rule_id,target_count,direct_reference_pass_count,direct_reference_pass_rate
AdvancedProject-40ecb9ba,BIM Whale IFC samples,architecture,complete-ish,IFC2X3,R01_GLOBAL_ID,2189,2189,1.0
AdvancedProject-40ecb9ba,BIM Whale IFC samples,architecture,complete-ish,IFC2X3,R02_OBJECT_NAME,2197,2197,1.0
AdvancedProject-40ecb9ba,BIM Whale IFC samples,architecture,complete-ish,IFC2X3,R03_TYPE_OR_OBJECTTYPE,2189,2189,1.0
AdvancedProject-40ecb9ba,BIM Whale IFC samples,architecture,complete-ish,IFC2X3,R04_SPATIAL_CONTAINMENT,2197,1649,0.7505689576695493
AdvancedProject-40ecb9ba,BIM Whale IFC samples,architecture,complete-ish,IFC2X3,R05_MATERIAL_AVAILABLE,850,824,0.9694117647058823
AdvancedProject-40ecb9ba,BIM Whale IFC samples,architecture,complete-ish,IFC2X3,R06_DOOR_CLEAR_WIDTH,126,126,1.0
AdvancedProject-40ecb9ba,BIM Whale IFC samples,architecture,complete-ish,IFC2X3,R07_WINDOW_DIMENSIONS,263,263,1.0
AdvancedProject-40ecb9ba,BIM Whale IFC samples,architecture,complete-ish,IFC2X3,R08_SPACE_AREA,8,8,1.0
AdvancedProject-40ecb9ba,BIM Whale IFC samples,architecture,complete-ish,IFC2X3,R09_FIRE_RATING,516,250,0.4844961240310077
AdvancedProject-40ecb9ba,BIM Whale IFC samples,architecture,complete-ish,IFC2X3,R10_SITE_GEOREFERENCE,18,1,0.05555555555555555
project-and-site-233f0ac5,buildingSMART IDS repository,test-fragment,complete-ish,IFC2X3,R01_GLOBAL_ID,3714,3714,1.0
project-and-site-233f0ac5,buildingSMART IDS repository,test-fragment,complete-ish,IFC2X3,R02_OBJECT_NAME,3814,3523,0.9237021499737809
project-and-site-233f0ac5,buildingSMART IDS repository,test-fragment,complete-ish,IFC2X3,R03_TYPE_OR_OBJECTTYPE,3714,197,0.053042541733979535
project-and-site-233f0ac5,buildingSMART IDS repository,test-fragment,complete-ish,IFC2X3,R04_SPATIAL_CONTAINMENT,3814,3344,0.8767697954902989
project-and-site-233f0ac5,buildingSMART IDS repository,test-fragment,complete-ish,IFC2X3,R05_MATERIAL_AVAILABLE,1973,1602,0.8119614799797263
project-and-site-233f0ac5,buildingSMART IDS repository,test-fragment,complete-ish,IFC2X3,R06_DOOR_CLEAR_WIDTH,205,104,0.5073170731707317
project-and-site-233f0ac5,buildingSMART IDS repository,test-fragment,complete-ish,IFC2X3,R07_WINDOW_DIMENSIONS,259,67,0.25868725868725867
project-and-site-233f0ac5,buildingSMART IDS repository,test-fragment,complete-ish,IFC2X3,R08_SPACE_AREA,100,100,1.0
project-and-site-233f0ac5,buildingSMART IDS repository,test-fragment,complete-ish,IFC2X3,R09_FIRE_RATING,1139,30,0.02633889376646181
project-and-site-233f0ac5,buildingSMART IDS repository,test-fragment,complete-ish,IFC2X3,R10_SITE_GEOREFERENCE,1,1,1.0
IDS-wooden-windows-IFC-0170197e,buildingSMART IDS repository,ids-example,test-fragment,IFC2X3,R01_GLOBAL_ID,12,12,1.0
IDS-wooden-windows-IFC-0170197e,buildingSMART IDS repository,ids-example,test-fragment,IFC2X3,R02_OBJECT_NAME,12,12,1.0
IDS-wooden-windows-IFC-0170197e,buildingSMART IDS repository,ids-example,test-fragment,IFC2X3,R03_TYPE_OR_OBJECTTYPE,12,12,1.0
IDS-wooden-windows-IFC-0170197e,buildingSMART IDS repository,ids-example,test-fragment,IFC2X3,R04_SPATIAL_CONTAINMENT,12,1,0.08333333333333333
IDS-wooden-windows-IFC-0170197e,buildingSMART IDS repository,ids-example,test-fragment,IFC2X3,R05_MATERIAL_AVAILABLE,3,3,1.0
IDS-wooden-windows-IFC-0170197e,buildingSMART IDS repository,ids-example,test-fragment,IFC2X3,R06_DOOR_CLEAR_WIDTH,1,1,1.0
IDS-wooden-windows-IFC-0170197e,buildingSMART IDS repository,ids-example,test-fragment,IFC2X3,R07_WINDOW_DIMENSIONS,2,2,1.0
IDS-wooden-windows-IFC-0170197e,buildingSMART IDS repository,ids-example,test-fragment,IFC2X3,R08_SPACE_AREA,0,0,
IDS-wooden-windows-IFC-0170197e,buildingSMART IDS repository,ids-example,test-fragment,IFC2X3,R09_FIRE_RATING,1,1,1.0
IDS-wooden-windows-IFC-0170197e,buildingSMART IDS repository,ids-example,test-fragment,IFC2X3,R10_SITE_GEOREFERENCE,1,1,1.0
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R01_GLOBAL_ID,1,1,1.0
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R02_OBJECT_NAME,1,1,1.0
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R03_TYPE_OR_OBJECTTYPE,1,0,0.0
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R04_SPATIAL_CONTAINMENT,1,0,0.0
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R05_MATERIAL_AVAILABLE,1,0,0.0
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R06_DOOR_CLEAR_WIDTH,0,0,
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R07_WINDOW_DIMENSIONS,0,0,
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R08_SPACE_AREA,0,0,
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R09_FIRE_RATING,1,0,0.0
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R10_SITE_GEOREFERENCE,0,0,
fail-an-optional-attribute-fails-if-empty-cd8b975d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R01_GLOBAL_ID,1,1,1.0
fail-an-optional-attribute-fails-if-empty-cd8b975d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R02_OBJECT_NAME,1,0,0.0
fail-an-optional-attribute-fails-if-empty-cd8b975d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R03_TYPE_OR_OBJECTTYPE,1,0,0.0
fail-an-optional-attribute-fails-if-empty-cd8b975d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R04_SPATIAL_CONTAINMENT,1,0,0.0
fail-an-optional-attribute-fails-if-empty-cd8b975d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R05_MATERIAL_AVAILABLE,1,0,0.0
fail-an-optional-attribute-fails-if-empty-cd8b975d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R06_DOOR_CLEAR_WIDTH,0,0,
fail-an-optional-attribute-fails-if-empty-cd8b975d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R07_WINDOW_DIMENSIONS,0,0,
fail-an-optional-attribute-fails-if-empty-cd8b975d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R08_SPACE_AREA,0,0,
fail-an-optional-attribute-fails-if-empty-cd8b975d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R09_FIRE_RATING,1,0,0.0
fail-an-optional-attribute-fails-if-empty-cd8b975d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R10_SITE_GEOREFERENCE,0,0,
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R01_GLOBAL_ID,1,1,1.0
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R02_OBJECT_NAME,1,0,0.0
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R03_TYPE_OR_OBJECTTYPE,1,0,0.0
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R04_SPATIAL_CONTAINMENT,1,0,0.0
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R05_MATERIAL_AVAILABLE,1,0,0.0
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R06_DOOR_CLEAR_WIDTH,0,0,
