model,source_repository,schema,model_type,completeness_tier,applicable_rules,target_count,pass_count,model_readiness_index
AdvancedProject-40ecb9ba,BIM Whale IFC samples,IFC2X3,architecture,complete-ish,10,10553,9779,0.926655927224486
Building-Architecture-05a38989,buildingSMART Sample-Test-Files,IFC4,architecture,sample-fragment,8,79,71,0.8987341772151899
Building-Architecture-bed38e50,buildingSMART Sample-Test-Files,IFC4X3,architecture,sample-fragment,8,79,69,0.8734177215189873
Building-Hvac-16b09e18,buildingSMART Sample-Test-Files,IFC4,mep,sample-fragment,5,26,24,0.9230769230769231
Building-Hvac-62b989f4,buildingSMART Sample-Test-Files,IFC4X3,mep,sample-fragment,5,26,24,0.9230769230769231
Building-Landscaping-289b45cb,buildingSMART Sample-Test-Files,IFC4,test-fragment,sample-fragment,5,30,27,0.9
Building-Landscaping-39c57699,buildingSMART Sample-Test-Files,IFC4X3,test-fragment,sample-fragment,5,30,27,0.9
Building-Structural-bf027ebb,buildingSMART Sample-Test-Files,IFC4X3,structure,sample-fragment,7,88,81,0.9204545454545454
Building-Structural-c56df51f,buildingSMART Sample-Test-Files,IFC4,structure,sample-fragment,7,88,81,0.9204545454545454
IDS-wooden-windows-IFC-0170197e,buildingSMART IDS repository,IFC2X3,ids-example,test-fragment,9,56,56,1.0
Infra-Bridge-8b897973,buildingSMART Sample-Test-Files,IFC4X3,infrastructure,sample-fragment,7,234,224,0.9572649572649573
Infra-Bridge-ff9e1a11,buildingSMART Sample-Test-Files,IFC4,infrastructure,sample-fragment,7,262,252,0.9618320610687023
Infra-Landscaping-16c587c8,buildingSMART Sample-Test-Files,IFC4X3,infrastructure,sample-fragment,5,456,443,0.9714912280701754
Infra-Landscaping-68f2e02e,buildingSMART Sample-Test-Files,IFC4,infrastructure,sample-fragment,5,456,443,0.9714912280701754
Infra-Plumbing-5669ddaf,buildingSMART Sample-Test-Files,IFC4,mep,sample-fragment,5,122,116,0.9508196721311475
Infra-Plumbing-ee916895,buildingSMART Sample-Test-Files,IFC4X3,mep,sample-fragment,5,122,116,0.9508196721311475
Infra-Rail-67613476,buildingSMART Sample-Test-Files,IFC4,infrastructure,sample-fragment,5,306,300,0.9803921568627451
Infra-Rail-b34c4d51,buildingSMART Sample-Test-Files,IFC4X3,infrastructure,sample-fragment,5,306,300,0.9803921568627451
Infra-Road-07399c32,buildingSMART Sample-Test-Files,IFC4X3,infrastructure,sample-fragment,5,226,200,0.8849557522123894
Infra-Road-2394f788,buildingSMART Sample-Test-Files,IFC4,infrastructure,sample-fragment,6,258,252,0.9767441860465116
basin-tessellation-e766253d,buildingSMART Sample-Test-Files,IFC4,test-fragment,test-fragment,4,4,3,0.75
column-straight-rectangle-tessellation-845c5267,buildingSMART Sample-Test-Files,IFC4,test-fragment,test-fragment,6,6,4,0.6666666666666666
fail-a-classification-facet-with-no-data-matches-any-cla-50cb3825,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,21,4,0.19047619047619047
fail-a-constituent-set-with-no-data-will-fail-a-value-ch-0611eb18,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-a-group-entity-must-match-exactly-1-2-275a3899,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,4,4,1,0.25
fail-a-logical-unknown-is-considered-false-and-will-not--0e679298,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-a-material-list-with-no-data-will-fail-a-value-chec-b6223d23,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-a-minimal-ids-can-check-a-minimal-ifc-1-2-17906ac8,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,12,3,0.25
fail-a-non-aggregated-element-fails-an-aggregate-relatio-e08e7eae,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,10,2,0.2
fail-a-non-grouped-element-fails-a-group-relationship-2020d94b,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,4,4,1,0.25
fail-a-null-predefined-type-should-always-fail-a-specifi-86dd0564,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-a-predefined-type-from-an-enumeration-must-be-upper-adf37778,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-08c96f95,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-151b4768,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-6f217fd6,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,10,3,0.3
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-bb95a2f3,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,21,4,0.19047619047619047
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-a-required-classification-system-fails-if-no-match-2a15ab64,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,21,4,0.19047619047619047
fail-a-specification-passes-only-if-all-requirements-pas-d03c5eb2,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-all-matching-properties-must-satisfy-requirements-3-3b382d0e,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-all-matching-property-sets-must-satisfy-requirement-6d28f073,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-an-aggregate-may-specify-the-entity-of-the-whole-2--5647135b,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,5,10,3,0.3
fail-an-aggregate-may-specify-the-predefined-type-of-the-0037884d,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,5,10,4,0.4
fail-an-empty-string-is-considered-false-and-will-not-pa-38a3e232,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-an-entity-not-matching-a-specified-predefined-type--ab83a0dd,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-an-enumeration-matches-case-sensitively-3-3-f2293b9b,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
