model,rule_id,ifc_class,global_id,name,passed,reason
IFC4-basin-tessellation,R01_GLOBAL_ID,IfcSanitaryTerminal,0Zk2_ch2P32wrl1QuECi58,,True,GlobalId is present
IFC4-basin-tessellation,R02_OBJECT_NAME,IfcSanitaryTerminal,0Zk2_ch2P32wrl1QuECi58,,False,Name is missing
IFC4-basin-tessellation,R03_TYPE_OR_OBJECTTYPE,IfcSanitaryTerminal,0Zk2_ch2P32wrl1QuECi58,,True,type/object type is present
IFC4-basin-tessellation,R04_SPATIAL_CONTAINMENT,IfcSanitaryTerminal,0Zk2_ch2P32wrl1QuECi58,,True,spatial containment is present
IFC4-column-straight-rectangle-tessellation,R01_GLOBAL_ID,IfcColumn,2WUGYBphrFv8aLIFJCmiIk,Column #1,True,GlobalId is present
IFC4-column-straight-rectangle-tessellation,R02_OBJECT_NAME,IfcColumn,2WUGYBphrFv8aLIFJCmiIk,Column #1,True,Name is present
IFC4-column-straight-rectangle-tessellation,R03_TYPE_OR_OBJECTTYPE,IfcColumn,2WUGYBphrFv8aLIFJCmiIk,Column #1,True,type/object type is present
IFC4-column-straight-rectangle-tessellation,R04_SPATIAL_CONTAINMENT,IfcColumn,2WUGYBphrFv8aLIFJCmiIk,Column #1,True,spatial containment is present
IFC4-column-straight-rectangle-tessellation,R05_MATERIAL_AVAILABLE,IfcColumn,2WUGYBphrFv8aLIFJCmiIk,Column #1,False,material assignment is missing
IFC4-column-straight-rectangle-tessellation,R10_SITE_GEOREFERENCE,IfcSite,0M0akNk9f3hOH9u2awmtre,Site #1,False,site latitude/longitude are missing
IFC4-tessellated-item,R01_GLOBAL_ID,IfcBuildingElementProxy,1kTvXnbbzCWw8lcMd1dR4o,P-1,True,GlobalId is present
IFC4-tessellated-item,R02_OBJECT_NAME,IfcBuildingElementProxy,1kTvXnbbzCWw8lcMd1dR4o,P-1,True,Name is present
IFC4-tessellated-item,R03_TYPE_OR_OBJECTTYPE,IfcBuildingElementProxy,1kTvXnbbzCWw8lcMd1dR4o,P-1,False,type/object type is missing
IFC4-tessellated-item,R04_SPATIAL_CONTAINMENT,IfcBuildingElementProxy,1kTvXnbbzCWw8lcMd1dR4o,P-1,True,spatial containment is present
