model,schema,rule_id,theme,severity,target_count,pass_count,fail_count,pass_rate,failure_examples
IFC4-basin-tessellation,IFC4,R01_GLOBAL_ID,Information continuity,critical,1,1,0,1.0,
IFC4-basin-tessellation,IFC4,R02_OBJECT_NAME,Information delivery,major,1,0,1,0.0,IfcSanitaryTerminal:0Zk2_ch2P32wrl1QuECi58 (Name is missing)
IFC4-basin-tessellation,IFC4,R03_TYPE_OR_OBJECTTYPE,Semantic typing,major,1,1,0,1.0,
IFC4-basin-tessellation,IFC4,R04_SPATIAL_CONTAINMENT,Spatial context,major,1,1,0,1.0,
IFC4-basin-tessellation,IFC4,R05_MATERIAL_AVAILABLE,Constructability and fire review,major,0,0,0,,
IFC4-basin-tessellation,IFC4,R06_DOOR_CLEAR_WIDTH,Accessibility,critical,0,0,0,,
IFC4-basin-tessellation,IFC4,R07_WINDOW_DIMENSIONS,Envelope review,major,0,0,0,,
IFC4-basin-tessellation,IFC4,R08_SPACE_AREA,Occupancy and accessibility,major,0,0,0,,
IFC4-basin-tessellation,IFC4,R09_FIRE_RATING,Fire safety,critical,0,0,0,,
IFC4-basin-tessellation,IFC4,R10_SITE_GEOREFERENCE,Digital permit context,major,0,0,0,,
IFC4-column-straight-rectangle-tessellation,IFC4,R01_GLOBAL_ID,Information continuity,critical,1,1,0,1.0,
IFC4-column-straight-rectangle-tessellation,IFC4,R02_OBJECT_NAME,Information delivery,major,1,1,0,1.0,
IFC4-column-straight-rectangle-tessellation,IFC4,R03_TYPE_OR_OBJECTTYPE,Semantic typing,major,1,1,0,1.0,
IFC4-column-straight-rectangle-tessellation,IFC4,R04_SPATIAL_CONTAINMENT,Spatial context,major,1,1,0,1.0,
IFC4-column-straight-rectangle-tessellation,IFC4,R05_MATERIAL_AVAILABLE,Constructability and fire review,major,1,0,1,0.0,IfcColumn:2WUGYBphrFv8aLIFJCmiIk (material assignment is missing)
IFC4-column-straight-rectangle-tessellation,IFC4,R06_DOOR_CLEAR_WIDTH,Accessibility,critical,0,0,0,,
IFC4-column-straight-rectangle-tessellation,IFC4,R07_WINDOW_DIMENSIONS,Envelope review,major,0,0,0,,
IFC4-column-straight-rectangle-tessellation,IFC4,R08_SPACE_AREA,Occupancy and accessibility,major,0,0,0,,
IFC4-column-straight-rectangle-tessellation,IFC4,R09_FIRE_RATING,Fire safety,critical,0,0,0,,
IFC4-column-straight-rectangle-tessellation,IFC4,R10_SITE_GEOREFERENCE,Digital permit context,major,1,0,1,0.0,IfcSite:0M0akNk9f3hOH9u2awmtre (site latitude/longitude are missing)
IFC4-tessellated-item,IFC4,R01_GLOBAL_ID,Information continuity,critical,1,1,0,1.0,
IFC4-tessellated-item,IFC4,R02_OBJECT_NAME,Information delivery,major,1,1,0,1.0,
IFC4-tessellated-item,IFC4,R03_TYPE_OR_OBJECTTYPE,Semantic typing,major,1,0,1,0.0,IfcBuildingElementProxy:1kTvXnbbzCWw8lcMd1dR4o (type/object type is missing)
IFC4-tessellated-item,IFC4,R04_SPATIAL_CONTAINMENT,Spatial context,major,1,1,0,1.0,
IFC4-tessellated-item,IFC4,R05_MATERIAL_AVAILABLE,Constructability and fire review,major,0,0,0,,
IFC4-tessellated-item,IFC4,R06_DOOR_CLEAR_WIDTH,Accessibility,critical,0,0,0,,
IFC4-tessellated-item,IFC4,R07_WINDOW_DIMENSIONS,Envelope review,major,0,0,0,,
IFC4-tessellated-item,IFC4,R08_SPACE_AREA,Occupancy and accessibility,major,0,0,0,,
IFC4-tessellated-item,IFC4,R09_FIRE_RATING,Fire safety,critical,0,0,0,,
IFC4-tessellated-item,IFC4,R10_SITE_GEOREFERENCE,Digital permit context,major,0,0,0,,
