rule_id,operator,original_state,expected_mutated_state,test_count,success_count,success_rate
R01_GLOBAL_ID,remove_required_attribute,pass,fail,7012,7012,1.0
R02_OBJECT_NAME,repair_required_attribute,fail,pass,604,604,1.0
R02_OBJECT_NAME,remove_required_attribute,pass,fail,6531,6531,1.0
R03_TYPE_OR_OBJECTTYPE,repair_type_route,fail,pass,3480,3480,1.0
R03_TYPE_OR_OBJECTTYPE,remove_type_routes,pass,fail,3532,3532,1.0
R04_SPATIAL_CONTAINMENT,repair_spatial_containment_flag,fail,pass,873,873,1.0
R04_SPATIAL_CONTAINMENT,break_spatial_containment,pass,fail,6262,6262,1.0
R05_MATERIAL_AVAILABLE,repair_material_assignment_flag,fail,pass,683,683,1.0
R05_MATERIAL_AVAILABLE,remove_material_assignment,pass,fail,2572,2572,1.0
R06_DOOR_CLEAR_WIDTH,repair_numeric_attribute_to_threshold,fail,pass,153,153,1.0
R06_DOOR_CLEAR_WIDTH,lower_numeric_attribute_below_threshold,pass,fail,181,181,1.0
R07_WINDOW_DIMENSIONS,repair_positive_dimensions,fail,pass,192,192,1.0
R07_WINDOW_DIMENSIONS,remove_positive_dimensions,pass,fail,333,333,1.0
R08_SPACE_AREA,repair_area_property,fail,pass,13,13,1.0
R08_SPACE_AREA,remove_area_properties,pass,fail,110,110,1.0
R09_FIRE_RATING,repair_fire_rating_property,fail,pass,1635,1635,1.0
R09_FIRE_RATING,remove_fire_rating_evidence,pass,fail,285,285,1.0
R10_SITE_GEOREFERENCE,repair_site_georeference,fail,pass,99,99,1.0
R10_SITE_GEOREFERENCE,remove_site_georeference,pass,fail,4,4,1.0
