model,path,source_repository,model_type,schema,file_size_mb,parse_status,parse_error,validation_service_status,license_status,IfcProject,IfcSite,IfcBuilding,IfcBuildingStorey,IfcSpace,IfcWall,IfcDoor,IfcWindow,IfcSlab,IfcBeam,IfcColumn,IfcStair,IfcRailing,IfcDistributionElement,IfcBuildingElement,has_ifcsite,has_ifcbuilding,has_ifcspace,door_count,wall_count,site_count,completeness_tier
AdvancedProject-40ecb9ba,AdvancedProject.ifc,BIM Whale IFC samples,architecture,IFC2X3,42.283,ok,,not_tested,inspect_only_raw_not_redistributed,1,18,1,10,8,390,126,263,43,0,0,9,19,49,1306,True,True,True,126,390,18,complete-ish
project-and-site-233f0ac5,IDS-development/Archive/2019Experiment/examples/project and site properties/project_and_site.ifc,buildingSMART IDS repository,test-fragment,IFC2X3,49.312,ok,,not_tested,inspect_only_raw_not_redistributed,1,1,1,6,100,934,205,259,279,174,23,9,90,73,3548,True,True,True,205,934,1,complete-ish
IDS-wooden-windows-IFC-0170197e,IDS-development/Documentation/Examples/IDS_wooden-windows_IFC.ifc,buildingSMART IDS repository,ids-example,IFC2X3,1.13,ok,,not_tested,inspect_only_raw_not_redistributed,1,1,1,1,0,0,1,2,0,0,0,0,0,1,10,True,True,False,1,0,1,test-fragment
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/fail-a_prohibited_facet_returns_the_opposite_of_a_required_facet.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
fail-an-optional-attribute-fails-if-empty-cd8b975d,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/fail-an_optional_attribute_fails_if_empty.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/fail-attributes_are_not_inherited_by_the_occurrence.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
fail-attributes-should-check-strings-case-sensitively-2--787c6062,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/fail-attributes_should_check_strings_case_sensitively_2_2.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
fail-attributes-with-a-logical-unknown-always-fail-297fde45,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/fail-attributes_with_a_logical_unknown_always_fail.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
fail-attributes-with-an-empty-list-always-fail-76240ec0,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/fail-attributes_with_an_empty_list_always_fail.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,False,False,False,0,2,0,test-fragment
fail-attributes-with-an-empty-set-always-fail-be6f4409,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/fail-attributes_with_an_empty_set_always_fail.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
fail-attributes-with-empty-strings-always-fail-a2dedfc3,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/fail-attributes_with_empty_strings_always_fail.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
fail-attributes-with-null-values-always-fail-4d8d2fdc,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/fail-attributes_with_null_values_always_fail.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/fail-booleans_must_be_specified_as_lowercase_strings_1_3.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
fail-dates-are-treated-as-strings-1-2-57d3112d,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/fail-dates_are_treated_as_strings_1_2.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
fail-durations-are-treated-as-strings-2-2-86c4fbec,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/fail-durations_are_treated_as_strings_2_2.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/fail-ids_does_not_handle_string_truncation_such_as_for_identifiers.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.001,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
fail-numeric-values-are-checked-using-type-casting-4-4-404a61ab,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/fail-numeric_values_are_checked_using_type_casting_4_4.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
fail-value-restrictions-may-be-used-3-3-9a8ae1a7,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/fail-value_restrictions_may_be_used_3_3.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
invalid-booleans-must-be-specified-as-lowercase-strings--430fcdba,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/invalid-booleans_must_be_specified_as_lowercase_strings_2_3.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
invalid-derived-attributes-cannot-be-checked-and-always--cd89517b,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/invalid-derived_attributes_cannot_be_checked_and_always_fail.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
invalid-integers-cannot-be-expressed-as-floating-point-n-e2e01623,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/invalid-integers_cannot_be_expressed_as_floating_point_numbers_2_2.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False,0,0,0,test-fragment
