source_repository,schema,evidence_family,models_with_targets,object_rule_targets,pass_count,fail_count,object_level_pass_rate,model_level_median_pass_rate,model_level_iqr
BIM Whale IFC samples,IFC2X3,information_continuity,1,4386,4386,0,1.0,1.0,1.000-1.000
BIM Whale IFC samples,IFC2X3,material_product_evidence,1,850,824,26,0.9694117647058823,0.9694117647058824,0.969-0.969
BIM Whale IFC samples,IFC2X3,regulatory_attributes,1,913,609,304,0.6670317634173056,0.8492063492063492,0.645-1.000
BIM Whale IFC samples,IFC2X3,semantic_definition,1,2189,2189,0,1.0,1.0,1.000-1.000
BIM Whale IFC samples,IFC2X3,spatial_project_context,1,2215,1771,444,0.7995485327313769,0.4305998078187427,0.243-0.618
buildingSMART IDS repository,IFC2X3,information_continuity,2,7552,7261,291,0.9614671610169492,1.0,0.981-1.000
buildingSMART IDS repository,IFC2X3,material_product_evidence,2,1976,1605,371,0.812246963562753,0.9059807399898632,0.859-0.953
buildingSMART IDS repository,IFC2X3,regulatory_attributes,2,1707,293,1414,0.17164616285881665,1.0,0.354-1.000
buildingSMART IDS repository,IFC2X3,semantic_definition,2,3726,587,3139,0.15754159957058508,0.5774098007539041,0.366-0.789
buildingSMART IDS repository,IFC2X3,spatial_project_context,2,3828,3735,93,0.975705329153605,1.0,0.994-1.000
buildingSMART IDS repository,IFC4,information_continuity,269,709,397,312,0.5599435825105783,1.0,0.000-1.000
buildingSMART IDS repository,IFC4,material_product_evidence,246,312,27,285,0.08653846153846154,0.0,0.000-0.000
buildingSMART IDS repository,IFC4,regulatory_attributes,243,252,3,249,0.011904761904761904,0.0,0.000-0.000
buildingSMART IDS repository,IFC4,semantic_definition,269,349,29,320,0.0830945558739255,0.0,0.000-0.000
buildingSMART IDS repository,IFC4,spatial_project_context,269,361,28,333,0.07756232686980609,0.0,0.000-0.000
buildingSMART Sample-Test-Files,IFC4,information_continuity,14,764,763,1,0.9986910994764397,1.0,1.000-1.000
buildingSMART Sample-Test-Files,IFC4,material_product_evidence,6,76,75,1,0.9868421052631579,1.0,1.000-1.000
buildingSMART Sample-Test-Files,IFC4,regulatory_attributes,4,16,4,12,0.25,0.5,0.000-1.000
buildingSMART Sample-Test-Files,IFC4,semantic_definition,14,381,369,12,0.968503937007874,0.9776785714285714,0.860-1.000
buildingSMART Sample-Test-Files,IFC4,spatial_project_context,14,425,383,42,0.9011764705882352,1.0,0.000-1.000
buildingSMART Sample-Test-Files,IFC4X3,information_continuity,9,736,736,0,1.0,1.0,1.000-1.000
buildingSMART Sample-Test-Files,IFC4X3,material_product_evidence,3,41,41,0,1.0,1.0,1.000-1.000
buildingSMART Sample-Test-Files,IFC4X3,regulatory_attributes,3,14,0,14,0.0,0.0,0.000-0.000
buildingSMART Sample-Test-Files,IFC4X3,semantic_definition,9,367,358,9,0.9754768392370572,1.0,0.944-1.000
buildingSMART Sample-Test-Files,IFC4X3,spatial_project_context,9,409,349,60,0.8533007334963325,0.3181818181818182,0.000-1.000
